file_name,tank_config,batch,run,tank1,tank2,tank3,tank4,tank5,tank6,tank7,tank8
ZFish-P1-01-20-14 1100 Main-5GWT,F,1,1,3,7,1,4,5,8,6,2
ZFish-P1-01-20-14 1430 Main-5GWT,C,1,2,5,8,4,2,6,1,3,7
ZFish-P1-01-21-14 1100 Main-5GWT,B,1,3,1,4,8,5,2,3,7,6
ZFish-P1-01-21-14 1430 Main-5GWT,G,1,4,3,4,7,6,2,5,1,8
ZFish-P1-01-22-14 1100 Main-5GWT,A,1,5,7,1,3,8,5,6,2,4
ZFish-P1-01-22-14 1500 Main-5GWT,E,1,6,8,2,5,3,1,7,6,4
ZFish-P1-01-27-14 1130 Main-1GAB,H,2,1,1,6,5,4,8,2,3,7
ZFish-P1-01-27-14 1500 Main-1GAB,D,2,2,8,5,1,3,4,7,6,2
ZFish-P1-01-28-14 1130 Main-1GAB,F,2,3,3,7,1,4,5,8,6,2
ZFish-P1-01-28-14 1430 Main-1GAB,B,2,4,1,4,8,5,2,3,7,6
ZFish-P1-01-29-14 1130 Main-1GAB,E,2,5,8,2,5,3,1,7,6,4
ZFish-P1-01-29-14 1500 Main-1GAB,G,2,6,3,4,7,6,2,5,1,8
ZFish-P1-02-03-14 1100 Main-5GWT,A,3,1,7,1,3,8,5,6,2,4
ZFish-P1-02-03-14 1430 Main-5GWT,H,3,2,1,6,5,4,8,2,3,7
ZFish-P1-02-04-14 1100 Main-5GWT,D,3,3,8,5,1,3,4,7,6,2
ZFish-P1-02-04-14 1430 Main-5GWT,C,3,4,5,8,4,2,6,1,3,7
ZFish-P1-02-05-14 1115 Main-5GWT,B,3,5,1,4,8,5,2,3,7,6
ZFish-P1-02-05-14 1430 Main-5GWT,F,3,6,3,7,1,4,5,8,6,2
ZFish-P1-02-10-14 1100 Main-1GAB,E,4,1,8,2,5,3,1,7,6,4
ZFish-P1-02-10-14 1430 Main-1GAB,D,4,2,8,5,1,3,4,7,6,2
ZFish-P1-02-11-14 1100 Main-1GAB,A,4,3,7,1,3,8,5,6,2,4
ZFish-P1-02-11-14 1430 Main-1GAB,G,4,4,3,4,7,6,2,5,1,8
ZFish-P1-02-12-14 1100 Main-1GAB,C,4,5,5,8,4,2,6,1,3,7
ZFish-P1-02-12-14 1430 Main-1GAB,H,4,6,1,6,5,4,8,2,3,7
ZFish-P1-02-13-14 1100 Main-5GWT,F,5,1,3,7,1,4,5,8,6,2
ZFish-P1-02-13-14 1430 Main-5GWT,G,5,2,3,7,1,4,5,8,6,2
ZFish-P1-02-14-14 1100 Main-5GWT,B,5,3,1,4,8,5,2,3,7,6
ZFish-P1-02-14-14 1430 Main-5GWT,H,5,4,1,6,5,4,8,2,3,7
ZFish-P1-02-15-14 1100 Main-5GWT,D,5,5,8,5,1,3,4,7,6,2
ZFish-P1-02-15-14 1430 Main-5GWT,A,5,6,7,1,3,8,5,6,2,4
ZFish-P1-02-17-14 1100 Main-1GAB,E,6,1,8,2,5,3,1,7,6,4
ZFish-P1-02-17-14 1430 Main-1GAB,C,6,2,5,8,4,2,6,1,3,7
ZFish-P1-02-18-14 1100 Main-1GAB,C,6,3,5,8,4,2,6,1,3,7
ZFish-P1-02-18-14 1430 Main-1GAB,E,6,4,8,2,5,3,1,7,6,4
ZFish-P1-02-19-14 1100 Main-1GAB,D,6,5,8,5,1,3,4,7,6,2
ZFish-P1-02-19-14 1430 Main-1GAB,A,6,6,7,1,3,8,5,6,2,4
ZFish-P1-02-20-14 1100 Main-5GWT,B,7,1,1,4,8,5,2,3,7,6
ZFish-P1-02-20-14 1430 Main-5GWT,H,7,2,1,6,5,4,8,2,3,7
ZFish-P1-02-21-14 1100 Main-5GWT,G,7,3,3,4,7,6,2,5,1,8
ZFish-P1-02-21-14 1430 Main-5GWT,F,7,4,3,7,1,4,5,8,6,2
ZFish-P1-02-22-14 1100 Main-5GWT,C,7,5,5,8,4,2,6,1,3,7
ZFish-P1-02-22-14 1430 Main-5GWT,A,7,6,7,1,3,8,5,6,2,4
ZFish-P1-02-24-14 1100 Main-1GAB,F,8,1,3,7,1,4,5,8,6,2
ZFish-P1-02-24-14 1430 Main-1GAB,H,8,2,1,6,5,4,8,2,3,7
ZFish-P1-02-25-14 1100 Main-1GAB,D,8,3,8,5,1,3,4,7,6,2
ZFish-P1-02-25-14 1430 Main-1GAB,G,8,4,3,4,7,6,2,5,1,8
ZFish-P1-02-26-14 1100 Main-1GAB,E,8,5,8,2,5,3,1,7,6,4
ZFish-P1-02-26-14 1430 Main-1GAB,B,8,6,1,4,8,5,2,3,7,6
ZFish-P1-02-27-14 1100 Main-5GWT,A,9,1,7,1,3,8,5,6,2,4
ZFish-P1-02-27-14 1430 Main-5GWT,G,9,2,3,4,7,6,2,5,1,8
ZFish-P1-02-28-14 1100 Main-5GWT,F,9,3,3,7,1,4,5,8,6,2
ZFish-P1-02-28-14 1430 Main-5GWT,H,9,4,1,6,5,4,8,2,3,7
ZFish-P1-03-01-14 1100 Main-5GWT,D,9,5,8,5,1,3,4,7,6,2
ZFish-P1-03-01-14 1430 Main-5GWT,C,9,6,5,8,4,2,6,1,3,7
ZFish-P1-03-03-14 1100 Main-1GAB,E,10,1,8,2,5,3,1,7,6,4
ZFish-P1-03-03-14 1430 Main-1GAB,B,10,2,1,4,8,5,2,3,7,6
ZFish-P1-03-04-14 1100 Main-1GAB,D,10,3,8,5,1,3,4,7,6,2
ZFish-P1-03-04-14 1430 Main-1GAB,C,10,4,5,8,4,2,6,1,3,7
ZFish-P1-03-05-14 1100 Main-1GAB,G,10,5,3,4,7,6,2,5,1,8
ZFish-P1-03-05-14 1430 Main-1GAB,H,10,6,1,6,5,4,8,2,3,7
ZFish-P1-03-17-14 1100 Main-1GAB,F,11,1,3,7,1,4,5,8,6,2
ZFish-P1-03-17-14 1430 Main-1GAB,B,11,2,1,4,8,5,2,3,7,6
ZFish-P1-03-18-14 1100 Main-1GAB,E,11,3,8,2,5,3,1,7,6,4
ZFish-P1-03-18-14 1430 Main-1GAB,A,11,4,7,1,3,8,5,6,2,4
ZFish-P1-03-19-14 1100 Main-1GAB,D,11,5,8,5,1,3,4,7,6,2
ZFish-P1-03-19-14 1430 Main-1GAB,F,11,6,3,7,1,4,5,8,6,2
ZFish-P1-03-20-14 1100 Main-5GWT,G,12,1,3,4,7,6,2,5,1,8
ZFish-P1-03-20-14 1430 Main-5GWT,B,12,2,1,4,8,5,2,3,7,6
ZFish-P1-03-21-14 1100 Main-5GWT,E,12,3,8,2,5,3,1,7,6,4
ZFish-P1-03-21-14 1430 Main-5GWT,H,12,4,1,6,5,4,8,2,3,7
ZFish-P1-03-22-14 1100 Main-5GWT,A,12,5,7,1,3,8,5,6,2,4
