fish,session,tank,include,strain,y1.n,entrytotop.min,y1.mean,topbottom.mean,y1.sd,topbottom.sd,y1.skew,y1.se,
13,1,11,0,5G,89,2870.00,52.7388,.6966,16.59168,.46232,-.349,.255,
17,1,12,0,5G,365,9005.00,34.4740,.4384,24.06065,.49687,.277,.128,
11,1,13,1,5G,3230,1995.00,41.8802,.6186,19.07680,.48581,-.405,.043,
14,1,14,1,5G,732,1805.00,43.8461,.8484,11.36142,.35892,-1.166,.090,
15,1,15,0,5G,450,1815.00,45.7140,.6467,10.18643,.47854,.665,.115,
18,1,16,0,5G,59,9795.00,30.6271,.4068,25.03095,.49545,.382,.311,
16,1,17,1,5G,1354,19735.00,18.9072,.2016,16.76936,.40136,1.014,.066,
12,1,18,1,5G,810,10970.00,21.6250,.3000,14.52833,.45854,.430,.086,
15,1,21,1,5G,4009,1805.00,48.6705,.6161,18.06346,.48639,-.295,.039,
18,1,22,1,5G,1521,5535.00,50.9494,.6890,22.46986,.46305,-.644,.063,
14,1,23,1,5G,5821,1805.00,49.0111,.8404,13.55892,.36626,-.888,.032,
12,1,24,1,5G,3272,6690.00,23.2382,.3050,14.67570,.46048,.387,.043,
16,1,25,1,5G,1038,12950.00,15.9562,.0539,11.90530,.22603,2.135,.076,
11,1,26,1,5G,7119,2475.00,39.6836,.5112,20.81298,.49991,-.015,.029,
13,1,27,1,5G,6092,2290.00,43.3230,.7019,19.71912,.45746,-.758,.031,
17,1,28,1,5G,4306,8285.00,34.1569,.6298,16.54459,.48291,-.491,.037,
11,1,31,1,5G,6784,2335.00,50.5120,.5178,27.57145,.49972,-.034,.030,
14,1,32,1,5G,3402,1830.00,74.6317,.9265,13.90928,.26097,-1.073,.042,
18,1,33,1,5G,551,4265.00,49.7448,.5935,26.98096,.49163,-.264,.104,
15,1,34,1,5G,3496,1805.00,34.3328,.5429,16.55681,.49823,-.353,.041,
12,1,35,1,5G,4474,7225.00,42.7677,.4350,21.66413,.49581,.200,.037,
13,1,36,1,5G,3733,2255.00,44.6704,.4838,24.67071,.49980,.117,.040,
17,1,37,1,5G,3058,2225.00,36.4454,.4565,22.02167,.49819,-.057,.044,
16,1,38,0,5G,302,35335.00,6.9400,.0066,7.49746,.08124,1.715,.140,
13,1,41,1,5G,3170,2325.00,50.1219,.4653,23.24790,.49887,.260,.043,
14,1,42,1,5G,1828,1820.00,67.5742,.8704,15.49356,.33601,-.884,.057,
17,1,43,1,5G,1669,1805.00,39.0203,.5177,19.85502,.49984,-.358,.060,
16,1,44,0,5G,50,1815.00,28.9522,.2600,12.12494,.44309,.324,.337,
12,1,45,1,5G,978,23175.00,19.4592,.0562,12.22043,.23050,1.589,.078,
15,1,46,1,5G,3584,1805.00,44.4512,.4838,21.52130,.49981,.125,.041,
11,1,47,1,5G,5755,1820.00,33.5766,.3545,19.94774,.47840,.412,.032,
18,1,48,0,5G,109,1805.00,42.6239,.6055,19.40518,.49100,-.322,.231,
17,1,51,1,5G,5643,1805.00,61.3791,.6860,23.14542,.46416,-.510,.033,
11,1,52,1,5G,5137,2545.00,56.7258,.5922,20.00906,.49148,-.007,.034,
13,1,53,1,5G,3400,1805.00,32.3936,.3259,24.05835,.46877,.685,.042,
18,1,54,1,5G,1408,1805.00,46.0147,.6946,19.15356,.46074,-.483,.065,
15,1,55,1,5G,6871,1805.00,54.1603,.5893,23.83355,.49200,-.211,.030,
16,1,56,1,5G,6484,22005.00,17.2511,.0470,12.46021,.21174,2.210,.030,
12,1,57,1,5G,4024,2710.00,46.9506,.6451,17.52183,.47853,-.392,.039,
14,1,58,1,5G,3729,1810.00,42.1139,.6865,16.14011,.46397,-.739,.040,
18,1,61,1,5G,1016,4045.00,57.6526,.6004,22.68789,.49006,-.006,.077,
12,1,62,1,5G,1289,1810.00,46.7649,.5322,13.60511,.49916,-.331,.068,
15,1,63,1,5G,3873,1810.00,37.8994,.4105,20.61725,.49199,.169,.039,
13,1,64,1,5G,995,2165.00,41.9071,.7899,12.69232,.40755,-1.505,.078,
11,1,65,1,5G,4939,1805.00,60.2355,.6888,20.01778,.46303,-.192,.035,
17,1,66,1,5G,1940,2240.00,49.4464,.5716,19.28779,.49497,-.158,.056,
16,1,67,1,5G,3234,3940.00,29.4102,.2687,17.86612,.44336,.586,.043,
14,1,68,1,5G,2229,1845.00,42.6159,.7465,13.30443,.43510,-.976,.052,
21,2,11,1,AB,6068,1825.00,57.3899,.6022,22.94563,.48949,-.225,.031,
26,2,12,1,AB,7474,1835.00,53.2541,.5601,16.60287,.49641,.210,.028,
25,2,13,1,AB,5724,1805.00,68.4387,.9949,5.37269,.07100,-1.563,.032,
24,2,14,1,AB,6338,2820.00,40.3658,.7098,16.27192,.45387,-.894,.031,
28,2,15,1,AB,7087,2225.00,66.2082,.7222,24.04330,.44796,-.619,.029,
22,2,16,1,AB,7320,2135.00,51.7960,.5693,23.10014,.49521,-.180,.029,
